y,z0,z1
5,-29.675734,-2.9392207
5,-29.462173,-2.8923912
5,-29.368809,-3.5078464
5,-29.562357,-3.620232
5,-29.671352,-3.5468729
5,-29.093729,-3.31156
5,-29.204052,-3.0460095
5,-29.499855,-3.709367
5,-29.302923,-3.4700954
5,-28.883303,-10.563772
5,-28.95767,-8.665697
5,-29.360352,-9.507234
5,-29.435877,-10.45781
5,-29.154196,-8.289814
5,-29.30979,-10.272394
5,-29.229969,-10.117166
5,-29.303535,-9.226155
5,-29.439116,-10.602992
5,-29.425034,-10.445485
5,-28.941349,-9.888055
5,-28.986855,-10.194184
5,-29.309252,-10.03373
5,-29.339588,-10.797003
5,-29.246351,-9.832986
5,-29.500095,-9.880294
10,-29.336369,-1.1305315
10,-29.296883,-1.1517675
10,-29.356203,-1.1706814
10,-29.271612,-1.1250091
10,-29.326954,-1.1531565
10,-29.171026,-1.0910474
10,-28.674168,-1.1320195
10,-29.055079,-1.095313
10,-29.494806,-1.1971208
10,-29.646248,-1.0569727
10,-29.873037,-1.2281444
10,-29.417395,-1.2728559
10,-29.743633,-1.1399407
10,-29.45179,-1.1270454
10,-29.017082,-1.3980716
10,-29.279913,-1.4079374
10,-28.880667,-1.1526127
11,-29.050974,-1.3016626
11,-29.617989,-1.6728412
11,-29.142593,-1.157494
10,-29.150982,-1.1199359
10,-29.451084,-1.1540982
10,-29.21725,-1.2108891
10,-29.637985,-1.145399
10,-29.632906,-1.2109547
11,-29.298147,-1.1170084
11,-29.583305,-1.3316342
11,-29.26581,-1.2595117
11,-29.348505,-1.3654585
5,-28.850367,-2.8599818
5,-29.243494,-2.9287655
5,-29.677235,-2.738983
5,-29.403385,-3.4713306
5,-29.58736,-2.8065104
5,-29.452532,-2.5661623
5,-29.197216,-3.2633877
5,-29.541458,-3.37939
5,-29.283747,-3.6417708
5,-29.305872,-3.4180012
5,-29.511353,-3.7288969
5,-29.367926,-3.4510627
5,-29.337326,-3.2740183
5,-29.354357,-3.5796707
5,-29.30422,-3.944466
5,-29.271286,-3.9001691
5,-29.572119,-2.7831895
5,-28.934061,-2.9336116
5,-29.570673,-3.7356799
5,-29.264547,-5.51161
5,-29.621983,-4.461449
5,-29.360598,-5.0137477
5,-29.544302,-5.799745
5,-29.265053,-5.4913945
5,-28.874916,-5.1054783
5,-29.279203,-5.4666142
5,-29.534641,-5.634572
5,-29.792484,-5.463178
5,-29.391562,-5.364878
5,-29.289484,-5.609936
5,-29.67947,-5.866739
5,-29.39199,-4.726554
5,-29.147455,-5.5151267
5,-29.69955,-5.9859014
5,-29.469828,-5.8875437
5,-29.410769,-5.868338
5,-29.542849,-5.7466874
5,-29.438889,-5.17283
5,-29.257917,-5.363599
5,-29.470627,-5.461449
5,-29.44608,-5.6378717
5,-29.369034,-5.000798
5,-29.38798,-5.2467136
5,-29.517414,-3.328794
5,-29.09848,-3.9239037
5,-29.412867,-3.4275174
5,-29.560322,-3.4284134
5,-29.536522,-3.9505622
5,-29.474768,-3.346546
5,-29.403124,-3.6341054
5,-29.569828,-3.316021
5,-29.53561,-3.1789634
5,-29.162718,-3.0699632
5,-29.38832,-3.2658758
5,-29.78931,-3.3218637
5,-29.484901,-2.8829513
5,-29.578815,-2.812107
5,-29.12253,-3.64304
5,-29.22892,-3.2295837
5,-29.28227,-3.7010183
5,-29.212362,-2.9808457
5,-29.548538,-7.9863358
5,-29.553461,-8.209723
5,-29.017233,-7.5937347
5,-28.224247,-7.991577
5,-29.093267,-8.0096245
5,-29.579168,-8.327623
5,-29.503935,-7.7489567
5,-29.592037,-8.1224985
5,-29.483658,-8.242165
5,-29.13711,-8.886759
5,-29.208069,-7.825275
5,-28.816551,-8.5645485
5,-28.961084,-8.701147
5,-29.304495,-9.364448
5,-29.248257,-8.714591
5,-29.045595,-8.184952
5,-29.701935,-9.179319
5,-29.665077,-8.9912815
5,-29.700697,-8.579294
5,-29.27472,-9.003403
5,-29.332521,-8.428615
5,-29.651592,-8.403003
5,-29.284357,-8.376872
5,-29.171232,-7.6390705
5,-29.27787,-8.709949
5,-29.228657,-8.586035
5,-29.294882,-8.489066
5,-28.996876,-9.078241
1,-29.015303,-6.963625
1,-29.258879,-7.530982
1,-29.46311,-7.4800334
1,-29.313478,-7.061389
1,-29.070309,-7.9251003
1,-28.902077,-7.255805
1,-29.550451,-7.2851663
1,-29.206654,-6.9720426
1,-29.29751,-7.1165614
1,-28.962584,-7.362145
1,-29.255194,-7.7483196
1,-28.903234,-7.5162015
1,-29.412954,-7.4603214
1,-29.210976,-7.2188144
5,-29.624832,-2.2196083
5,-29.283567,-2.1034741
5,-29.885036,-1.5121154
5,-29.75575,-1.6290246
5,-29.245077,-2.4191298
5,-29.835754,-1.0289978
5,-29.458199,-1.486778
5,-29.842945,-1.6754924
5,-29.933496,-6.0009346
1,-29.428835,-7.2915463
5,-29.680895,-7.909395
1,-28.699036,-7.5306764
1,-29.489876,-8.280264
5,-29.482971,-7.5727053
1,-29.080473,-8.037399
1,-29.534794,-7.725083
1,-29.426077,-8.062566
1,-29.404263,-8.005228
1,-29.307064,-8.030664
1,-28.870544,-7.7950835
1,-29.28284,-7.9788704
1,-29.469595,-7.9244027
5,-29.364038,-8.073049
1,-29.437271,-8.307496
5,-29.766773,-8.4616375
5,-29.50021,-7.750234
5,-29.580402,-3.1782806
5,-29.566298,-2.8421328
5,-29.243607,-4.3095155
5,-29.501554,-4.5042653
5,-29.341242,-4.6273046
5,-29.6102,-4.3908987
5,-29.592855,-4.3385987
5,-29.126373,-4.0016623
5,-29.156862,-4.3621044
5,-29.506567,-4.623062
5,-29.675867,-4.5758934
5,-29.712944,-4.5380507
5,-28.972178,-4.373338
5,-29.28618,-4.645294
5,-29.413998,-4.516406
5,-29.633743,-4.1990647
5,-29.238462,-4.495791
5,-29.214773,-4.7154546
5,-29.437359,-4.415644
5,-29.560114,-4.37784
5,-29.308378,-4.2635794
5,-29.622053,-4.515548
5,-29.542763,-3.9810996
5,-29.183609,-4.5999074
10,-29.351162,-1.459312
10,-29.524166,-1.1026248
10,-29.383793,-1.2954893
10,-29.664328,-1.3578262
10,-29.448055,-1.2618994
10,-29.683361,-1.5098361
10,-29.366573,-1.4097002
10,-29.417616,-1.3358784
10,-29.871017,-1.1865232
5,-29.535275,-9.844317
5,-29.547592,-9.422817
5,-29.238043,-9.693174
5,-29.34874,-9.752878
5,-29.434086,-9.472795
5,-29.577192,-9.372205
5,-29.550177,-9.764377
5,-29.334154,-9.251252
5,-29.294104,-9.403153
5,-29.298288,-9.500561
5,-29.290943,-9.004654
5,-29.173717,-9.406241
5,-29.030376,-9.458038
5,-28.955662,-10.013099
5,-29.387451,-9.849486
5,-29.154366,-9.502542
5,-29.156275,-9.404818
5,-29.29759,-9.711957
5,-29.46928,-9.707667
5,-29.022476,-9.545747
5,-29.233667,-9.51399
5,-29.600925,-9.140391
5,-28.964975,-9.1790085
5,-28.990816,-9.749364
5,-29.27825,-9.369698
5,-29.115936,-9.583624
5,-29.313095,-8.823722
5,-29.116571,-8.657478
5,-29.085262,-9.953521
5,-29.286188,-9.82299
5,-29.604616,-9.956176
5,-29.028812,-9.238214
5,-29.525156,-9.996945
5,-29.339659,-9.583546
5,-29.196257,-7.2092957
5,-29.446325,-7.29481
5,-29.198792,-7.0389314
5,-29.552671,-7.22899
5,-29.35149,-7.115475
5,-29.37408,-6.902843
5,-29.408394,-5.826021
